competitor,type,keyword,position,previous_position,delta,rating,reviews,previous_reviews
Atelier Fournier,gbp,cours de couture puylaurens,1,,,4.6,16,
Caméléon Couture Création,gbp,atelier couture tarn,4,,,4.9,28,
Caméléon Couture Création,gbp,cours de couture tarn,2,,,4.9,28,
Caméléon Couture Création,gbp,stage couture tarn,3,,,4.9,28,
Créa'Isi,gbp,cours de couture soreze,1,,,5,31,
Déco Couture,gbp,cours de couture castres,1,,,4.9,20,
Déco Couture,gbp,cours de couture puylaurens,8,,,4.9,20,
FIL EN STYLE,gbp,cours de couture puylaurens,2,,,4.8,32,
L'Atelier aux 4 mains,gbp,cours de couture soreze,5,,,5,106,
L'atelier 3C,gbp,atelier couture tarn,3,,,5,12,
L'atelier 3C,gbp,atelier couture tarn,7,,,5,12,
L'atelier 3C,gbp,cours de couture tarn,6,,,5,12,
L'atelier 3C,gbp,stage couture tarn,7,,,5,12,
L'atelier de couture d'Elise,gbp,atelier couture tarn,1,,,5,27,
L'atelier de couture d'Elise,gbp,cours de couture puylaurens,5,,,5,27,
L'atelier de couture d'Elise,gbp,cours de couture tarn,1,,,5,27,
L'atelier de couture d'Elise,gbp,stage couture tarn,1,,,5,27,
La Fabrique de Marjorie,gbp,cours de couture tarn,4,,,5,37,
La Fabrique de Marjorie,gbp,stage couture tarn,6,,,5,37,
La Fée Dymotite,gbp,cours de couture castres,2,,,5,23,
Les créas de Sylvie C,gbp,atelier couture tarn,6,,,5,20,
Les créas de Sylvie C,gbp,cours de couture tarn,9,,,5,20,
Les créas de Sylvie C,gbp,stage couture tarn,5,,,5,20,
acde-couture.fr,organic,cours de couture verdalle,19,,,,,
atelierarteli.fr,organic,cours de couture revel,3,,,,,
atelierarteli.fr,organic,cours de couture soreze,10,,,,,
atelieraslena.fr,organic,cours de couture puylaurens,24,,,,,
atelieraslena.fr,organic,stage couture tarn,21,,,,,
atelierdecouture.fr,organic,atelier couture tarn,6,,,,,
atelierdecouture.fr,organic,cours de couture dourgne,16,,,,,
atelierdecouture.fr,organic,cours de couture puylaurens,13,,,,,
atelierdecouture.fr,organic,cours de couture revel,17,,,,,
atelierdecouture.fr,organic,cours de couture tarn,5,,,,,
atelierdecouture.fr,organic,cours de couture verdalle,7,,,,,
atelierdecouture.fr,organic,stage couture tarn,5,,,,,
cameleoncouturecreation.com,organic,atelier couture tarn,9,,,,,
cameleoncouturecreation.com,organic,cours de couture tarn,15,,,,,
cameleoncouturecreation.com,organic,stage couture tarn,14,,,,,
lacouzeuse.org,organic,cours de couture soreze,19,,,,,
lacouzeuse.org,organic,cours de couture tarn,24,,,,,
lacouzeuse.org,organic,cours de couture verdalle,14,,,,,
lacouzeuse.org,organic,stage couture tarn,24,,,,,
latelierdescousettes.fr,organic,cours de couture revel,9,,,,,
latelierdescousettes.fr,organic,cours de couture verdalle,13,,,,,
latelierdesgourdes.fr,organic,cours de couture dourgne,14,,,,,
latelierdesgourdes.fr,organic,cours de couture tarn,8,,,,,
latelierdesgourdes.fr,organic,stage couture tarn,7,,,,,
