keyword,page,position,previous_position,delta,clicks,impressions,ctr,search_volume,status
cousette,https://couture-tarn.fr/,6.0,5.9,-0.1,0,97,0.0%,6600,lost
couturiere revel,https://couture-tarn.fr/,8.2,8.3,+0.1,0,41,0.0%,0,gained
atelier couture,https://couture-tarn.fr/,13.0,13.0,0,0,28,0.0%,,flat
couturiere castres,https://couture-tarn.fr/,3.4,3.3,-0.1,0,25,0.0%,390,lost
cours de couture autour de moi,https://couture-tarn.fr/,9.3,9.2,-0.1,1,25,4.0%,,lost
couture,https://couture-tarn.fr/,12.7,12.5,-0.2,0,17,0.0%,,lost
poser une fermeture éclair sur une trousse,https://couture-tarn.fr/blog/coudre-trousse-fermeture-eclair/,8.1,8.1,0,0,21,0.0%,,flat
atelier de couture,https://couture-tarn.fr/,12.2,12.1,-0.1,0,18,0.0%,3600,lost
trousse fermeture éclair 20 cm,https://couture-tarn.fr/blog/coudre-trousse-fermeture-eclair/,8.9,8.9,0,0,17,0.0%,,flat
couturière revel,https://couture-tarn.fr/,10.4,10.4,0,0,11,0.0%,0,flat
cours de couture,https://couture-tarn.fr/,9.7,10.2,+0.5,0,11,0.0%,2900,gained
couturière indépendante,https://couture-tarn.fr/,6.7,8.1,+1.4,0,6,0.0%,,gained
trousse fermeture éclair,https://couture-tarn.fr/blog/coudre-trousse-fermeture-eclair/,9.8,9.8,0,0,6,0.0%,,flat
studio de couture,https://couture-tarn.fr/,7.6,7.6,0,0,5,0.0%,,flat
stage couture,https://couture-tarn.fr/,11.3,11.3,0,0,3,0.0%,,flat
cours de couture castres,,,,0,0,0,,20,flat
cours de couture revel,https://couture-tarn.fr/,1.0,1.0,0,0,,,0,flat
cours de couture tarn,,,,0,0,0,,10,flat
