competitor,type,keyword,position,previous_position,delta,rating,reviews,previous_reviews
La Fée Dymotite,gbp,cours de couture castres,1,1,0,5,23,23
Déco Couture,gbp,cours de couture castres,3,2,-1,4.9,20,20
L'Atelier des Cousettes,gbp,cours de couture castres,9,,,5,6,6
Créa'Isi,gbp,cours de couture revel,1,1,0,5,31,31
Atelier Artéli,gbp,cours de couture revel,8,9,1,5,4,3
L'Atelier des Cousettes,gbp,cours de couture revel,7,7,0,5,6,6
atelierdecouture.fr,organic,cours de couture castres,20,,,,,
atelierdecouture.fr,organic,cours de couture revel,10,14,4,,,
atelierarteli.fr,organic,cours de couture revel,,6,,,,
latelierdescousettes.fr,organic,cours de couture revel,,13,,,,
